filename,MRK_Lat,MRK_Lon,Center_Lat,Center_Lon,TL_Lat,TL_Lon,TR_Lat,TR_Lon,BL_Lat,BL_Lon,BR_Lat,BR_Lon
DJI_0010.JPG,-2.18053365,41.0355846,-2.180625049041977,41.0356352068325,-2.18048034967135,41.03570368901921,-2.1806063252159924,41.035476258438436,-2.1806701010182956,41.0360212348487,-2.180975977250695,41.035469019659814
DJI_0020.JPG,-2.1805345399993943,41.03558551999937,-2.180626395100824,41.03563554437129,-2.180482011574537,41.03570511551641,-2.1806065401256456,41.03547654849142,-2.1806741937552903,41.03602169066075,-2.180976556599979,41.03546671611667
DJI_0030.JPG,-2.180563939981787,41.0356043299885,-2.1806552230599907,41.03565508105756,-2.1805104481872575,41.03572328981475,-2.180636782047063,41.03549614818936,-2.180699588313788,41.03604107063126,-2.1810063345570483,41.03548955704352
DJI_0040.JPG,-2.180607498352048,41.03563050429636,-2.180699088012837,41.035681845326906,-2.1805533054603004,41.03574990773978,-2.180681106434877,41.03552200404556,-2.180742335232023,41.036070039623404,-2.181052643718573,41.035516675686516
DJI_0050.JPG,-2.180649024942805,41.03565337406788,-2.1807417259817092,41.03570533808828,-2.180594174457249,41.03577422639404,-2.180723526209555,41.03554355723745,-2.180785497976427,41.03609824286885,-2.181099571844985,41.035538164222245
DJI_0060.JPG,-2.180690005207014,41.035675357850806,-2.1807825521935067,41.03572723551779,-2.1806352458730753,41.03579600934548,-2.1807643826660916,41.035565723513166,-2.180826251447061,41.03611948737214,-2.1811398033814795,41.035560339460034
DJI_0070.JPG,-2.18071468308511,41.03568878454234,-2.1808102970682826,41.03573598136449,-2.180666064189244,41.035812761983316,-2.1807835713061623,41.035574832086105,-2.1808747746226445,41.03612737480624,-2.1811600890009637,41.03554966664281
DJI_0080.JPG,-2.180888897485436,41.03567557885377,-2.1809582066977686,41.03559249431189,-2.1809994520077978,41.0357531243705,-2.1807930552907746,41.035580424836084,-2.18135921707776,41.03562223544771,-2.180858073380689,41.03520291054561
DJI_0090.JPG,-2.180861562271628,41.03564909968944,-2.1807677904561773,41.03559675039312,-2.180916779135657,41.03552687398309,-2.1807864676074984,41.035760208016306,-2.180722863612327,41.0351997726076,-2.180406459350019,41.03576632173563
DJI_0100.JPG,-2.180812165521937,41.035628521967375,-2.1807201492684567,41.03557736326307,-2.180866086956461,41.035508606649586,-2.180738738397498,41.03573757268838,-2.180675427677999,41.03518827340094,-2.180366217683887,41.03574421677465
DJI_0110.JPG,-2.180764294031007,41.03560782646652,-2.1806729504712354,41.03555745852559,-2.1808173032418003,41.035488831592666,-2.18069192165966,41.0357161245543,-2.180627297079129,41.03517211553759,-2.180322863023566,41.03572399657889
DJI_0120.JPG,-2.180719991635904,41.035585533355786,-2.1806287195063856,41.03553499678732,-2.1807732179541968,41.03546660968332,-2.1806474173333363,41.035693724492695,-2.1805837300871462,41.035149504743934,-2.180278278580256,41.035700953220775
DJI_0130.JPG,-2.1806774828732567,41.03556220698928,-2.180586359727929,41.035511752913465,-2.180730622309826,41.03544347744019,-2.1806050270342747,41.035670221521926,-2.1805414437452604,41.03512689012255,-2.1802364908291865,41.0356774384503
DJI_0140.JPG,-2.180636835991121,41.035539309032416,-2.180545718290799,41.03548864990679,-2.1806902308743736,41.03542056472036,-2.1805641258940773,41.03564729484343,-2.1805014334136916,41.03510335961313,-2.1801952429037064,41.03565387404839
DJI_0150.JPG,-2.180595471949726,41.0355160187568,-2.180504354322331,41.03546556773897,-2.1806486081684535,41.03539729640381,-2.180523020498284,41.035624026742774,-2.1804594410595355,41.03508072827427,-2.180154506609788,41.03563124323373
DJI_0160.JPG,-2.180553747213023,41.03549207928432,-2.1804626958008244,41.035441664930644,-2.1806068448176514,41.03537344321017,-2.180481348412064,41.03560000877787,-2.180417815176505,41.035057105139515,-2.180113102322675,41.03560722002441
DJI_0170.JPG,-2.180527664861991,41.03547742303645,-2.180446423000057,41.03541239288926,-2.1805999602700328,41.03536946209092,-2.180438151011558,41.0355715794126,-2.1804669263638616,41.03502585731023,-2.1800740437096127,41.035516610376895
DJI_0180.JPG,-2.180531200515694,41.035369094288335,-2.1805917680216096,41.035289976317635,-2.1806359062311236,41.03543617501454,-2.180439352594415,41.03528524481636,-2.180961870441303,41.03530186508603,-2.1804846263378415,41.03493539744736
