filename,dt,Velocity
DJI_1600.JPG,0.0,
DJI_1610.JPG,1.985,2.6291178962705897
DJI_1620.JPG,1.988,2.646479098485383
DJI_1630.JPG,2.019,2.654336958576789
DJI_1640.JPG,0.754,2.092556144384196
DJI_1650.JPG,5.456,2.1897060373754655
DJI_1660.JPG,1.986,2.1161911096001673
DJI_1670.JPG,1.988,2.9461308944843623
DJI_1680.JPG,2.023,2.8964438967061734
DJI_1690.JPG,1.994,2.729566875964575
DJI_1700.JPG,1.99,2.646618845270806
DJI_1710.JPG,2.019,2.6598461550471955
DJI_1720.JPG,1.99,2.5664614341167176
DJI_1730.JPG,1.988,2.629529457620879
DJI_1740.JPG,2.021,2.63842135989717
DJI_1750.JPG,1.988,2.645741118397135
DJI_1760.JPG,1.99,2.6759900632013918
DJI_1770.JPG,2.019,2.664172154858721
DJI_1780.JPG,1.99,2.671736231953126
DJI_1790.JPG,1.988,2.670205643210471
DJI_1800.JPG,2.019,2.628293894490848
DJI_1810.JPG,1.986,2.639243607160589
DJI_1820.JPG,2.021,2.643955074795955
DJI_1830.JPG,1.988,2.6431013369064624
DJI_1840.JPG,1.988,2.663641051433266
DJI_1850.JPG,2.019,2.6752645152164374
DJI_1860.JPG,1.986,2.652382937952096
DJI_1870.JPG,2.023,2.6478107998435654
DJI_1880.JPG,1.988,2.649797316340806
DJI_1890.JPG,1.99,2.6363053584010596
DJI_1900.JPG,2.019,2.6477668617828582
DJI_1910.JPG,1.986,2.669294648807508
DJI_1920.JPG,2.021,2.655156569645028
DJI_1930.JPG,1.988,2.6772217419072
DJI_1940.JPG,1.99,2.6670339806299785
